Source,Target,Type
79975924,1192318044950818816,Directed
13074042,974328008,Directed
350283265,512980264,Directed
1374177660,1011817655957893120,Directed
3409901933,334553913,Directed
260399941,55661900,Directed
722471022704922624,1011817655957893120,Directed
207166307,107702536,Directed
842679437263028224,457401002,Directed
842679437263028224,386228649,Directed
877278595,747197781878652929,Directed
144592995,1167844985271660544,Directed
503776268,963205257374220289,Directed
5685812,3230388598,Directed
25215810,819942136221155328,Directed
899690604,9202502,Directed
20444825,956981465522327553,Directed
295344317,892117578763685888,Directed
12135922,1011817655957893120,Directed
144592995,142349143,Directed
1060213620397637632,1078669040980131840,Directed
4263007693,29897850,Directed
842679437263028224,17099580,Directed
236102260,1011817655957893120,Directed
144592995,4929791,Directed
983470194982088704,266017792,Directed
500162083,1075011651366199297,Directed
13074042,883623015405293569,Directed
78459415,808132281877426176,Directed
177729631,907621385765191680,Directed
4263007693,1223349536,Directed
13074042,1092509048,Directed
211937351,92987182,Directed
1183885034220150784,310897418,Directed
525529406,2409201906,Directed
1031800486821646336,162285784,Directed
381070776,1011817655957893120,Directed
3867945679,2256162268,Directed
3191247045,562894289,Directed
884253117251858432,983470194982088704,Directed
827984604,142349143,Directed
3140904045,2374578420,Directed
32776890,983470194982088704,Directed
350283265,998511141964873728,Directed
877278595,784083027777335296,Directed
827984604,1042688984005206016,Directed
842679437263028224,133718722,Directed
503776268,377605657,Directed
1206222232860663808,812555214024740865,Directed
1211416045065424896,767675409336897536,Directed
1138797360975306752,1011817655957893120,Directed
935569091678691328,1172978218015625219,Directed
20444825,2210326663,Directed
254695026,828330692564103168,Directed
46245868,1082080010771619840,Directed
144592995,1241357432,Directed
913030820549611520,1011817655957893120,Directed
462130757,1011817655957893120,Directed
973955318987210752,1211593596677181440,Directed
848952290816004096,1011817655957893120,Directed
1823987821,1241814552,Directed
932757457834729472,1011817655957893120,Directed
960947423320326144,296634911,Directed
842679437263028224,478584818,Directed
815555071517872128,202738150,Directed
339616908,1075011651366199297,Directed
226310002,767675409336897536,Directed
534563976,391157344,Directed
987645988037976064,169136907,Directed
144592995,105651575,Directed
460927732,1011817655957893120,Directed
350283265,257757365,Directed
815555071517872128,4241359336,Directed
14564385,1213448514493009926,Directed
58096190,1205149017992089601,Directed
1386338574,1011817655957893120,Directed
4263007693,44684548,Directed
1929862952,14668027,Directed
1653264782,49583073,Directed
69133574,2501500825,Directed
842679437263028224,66351565,Directed
466463499,118627946,Directed
177729631,776596952058388480,Directed
974140999118319616,53833682,Directed
35231733,1075011651366199297,Directed
144592995,1043206582295830529,Directed
844152803991994368,1011817655957893120,Directed
1165314053641854976,983470194982088704,Directed
21917885,51687710,Directed
260399941,768953945460994049,Directed
144592995,811923527683149824,Directed
2933519596,1140765066,Directed
1204483687426985984,1150696280110313472,Directed
226310002,310897418,Directed
1140228509509586944,1011817655957893120,Directed
874444310439231488,899811623505932289,Directed
226310002,951690486917582850,Directed
46245868,162285784,Directed
1134925528740159488,583673433,Directed
177729631,250305664,Directed
20444825,1975413241,Directed
190179815,69577776,Directed
50782791,25819761,Directed
253412938,985425300292022273,Directed
4263007693,167046248,Directed
842679437263028224,895541565736857600,Directed
3070187416,162285784,Directed
974140999118319616,701133569406726144,Directed
4263007693,34236754,Directed
1653264782,951169134594871302,Directed
3867945679,1189045570553483265,Directed
279084729,2453661974,Directed
350283265,936215783931342849,Directed
177729631,73912132,Directed
1134823421500637184,1011817655957893120,Directed
543981616,1002781992,Directed
46245868,959240231684685824,Directed
28912860,1011817655957893120,Directed
844327366239379456,1075011651366199297,Directed
2349907753,260815572,Directed
973955318987210752,410232198,Directed
534563976,213339721,Directed
1060213620397637632,59632062,Directed
525529406,875603210962059264,Directed
960947423320326144,318466467,Directed
49683966,368551889,Directed
844152803991994368,975452621522853890,Directed
207166307,2474626477,Directed
973955318987210752,29278059,Directed
13074042,125137988,Directed
4263007693,1303168188,Directed
1134925528740159488,710800359120183296,Directed
3070187416,1143001067963076609,Directed
973955318987210752,18015472,Directed
46245868,584755447,Directed
4263007693,737361853198782466,Directed
1678564044,1679260675,Directed
322886464,1011817655957893120,Directed
177729631,118526360,Directed
46245868,765567909909434368,Directed
295344317,169136907,Directed
15969459,19539923,Directed
973955318987210752,958649520,Directed
79975924,79975924,Directed
4263007693,1133775476269490177,Directed
913030820549611520,1075011651366199297,Directed
226310002,1134668128489656320,Directed
534563976,861597308881948674,Directed
207166307,1075011651366199297,Directed
15969459,1011817655957893120,Directed
24893795,1011817655957893120,Directed
842679437263028224,3197310566,Directed
842679437263028224,2743785585,Directed
4263007693,1107355264775344130,Directed
4263007693,1131854274223366144,Directed
144592995,6107392,Directed
20444825,89829891,Directed
79975924,924173288409939968,Directed
1189324654495838208,1011817655957893120,Directed
1241814552,46245868,Directed
345609141,875924594468802561,Directed
16741059,80463631,Directed
197844533,2840980285,Directed
974140999118319616,796122110292819972,Directed
923513734831755264,2602278061,Directed
722471022704922624,2227694947,Directed
207166307,713888008,Directed
1211593596677181440,1211593596677181440,Directed
445827586,3491880317,Directed
842679437263028224,896126557,Directed
1004225337163747328,1018459979047624710,Directed
13074042,4550447429,Directed
466463499,1677004586,Directed
93174945,1011817655957893120,Directed
13074042,2728657237,Directed
161366031,1075011651366199297,Directed
4263007693,1178423913757450253,Directed
1388496048,1011817655957893120,Directed
789188450318639104,3167778757,Directed
827984604,70619400,Directed
973955318987210752,981957793904242693,Directed
13074042,15521222,Directed
4263007693,876785354,Directed
1191546768107945984,162285784,Directed
20444825,133239513,Directed
4263007693,1193481547233447936,Directed
1571967648,1075011651366199297,Directed
1210467666571546624,2194500482,Directed
1823987821,983470194982088704,Directed
144592995,919744697551253505,Directed
79975924,292015799,Directed
973955318987210752,1011817655957893120,Directed
2300658193,921269952,Directed
4263007693,3197518417,Directed
758405210213650432,3092381638,Directed
973955318987210752,3437888338,Directed
842679437263028224,16431681,Directed
82560556,1011817655957893120,Directed
2324607633,1011817655957893120,Directed
4863609262,807295746160656385,Directed
144592995,1854336415,Directed
245127326,115311127,Directed
2773863188,1115955007,Directed
1049558567252979712,1075011651366199297,Directed
46245868,57433763,Directed
18129188,1011817655957893120,Directed
144592995,1226458368,Directed
842679437263028224,59818041,Directed
842679437263028224,16524841,Directed
188839854,1075011651366199297,Directed
534563976,62943218,Directed
543981616,125008202,Directed
712454533943857152,1011817655957893120,Directed
970938810082131968,1011817655957893120,Directed
842679437263028224,364554987,Directed
10915042,786048823340576768,Directed
13074042,7755292,Directed
1165314053641854976,1241814552,Directed
960947423320326144,791719318320979968,Directed
842679437263028224,59737911,Directed
152352020,1011817655957893120,Directed
20444825,211120245,Directed
2151674839,1011817655957893120,Directed
1177849512779493376,1011817655957893120,Directed
1823987821,823044740086120448,Directed
842679437263028224,47126277,Directed
369165118,1011817655957893120,Directed
20444825,948019459838447616,Directed
3867945679,930871517860319232,Directed
47039654,1011817655957893120,Directed
1081055750,1011817655957893120,Directed
48707597,1110127915,Directed
3070187416,1011817655957893120,Directed
1823987821,316215253,Directed
5685812,275740961,Directed
827984604,21444864,Directed
4263007693,1187715220992593921,Directed
4263007693,994153011961311232,Directed
254695026,924173288409939968,Directed
543981616,983470194982088704,Directed
4263007693,1178595404461563904,Directed
4263007693,361827606,Directed
46245868,61190451,Directed
4263007693,585649580,Directed
226310002,428345347,Directed
254695026,1075011651366199297,Directed
822474323436929024,1011817655957893120,Directed
1571967648,70298986,Directed
2771028708,1075011651366199297,Directed
20444825,2963158643,Directed
55129680,1075011651366199297,Directed
1145917291693072384,885513434569355265,Directed
4263007693,4268323816,Directed
78459415,20520190,Directed
791719318320979968,2996029696,Directed
13074042,1000295568793587713,Directed
260399941,20467154,Directed
68583134,1011817655957893120,Directed
3867945679,3395637394,Directed
260399941,187973872,Directed
2544177302,2423561148,Directed
13074042,1031800486821646338,Directed
317271050,1011817655957893120,Directed
973955318987210752,908142314555674635,Directed
13074042,361557866,Directed
144592995,1114431596239695874,Directed
1038551897634787328,345609141,Directed
827984604,57433763,Directed
69133574,41131491,Directed
4263007693,1149104384548069376,Directed
1134925528740159488,704115555867840513,Directed
445827586,986017875407327232,Directed
1166544078516969472,1134668128489656320,Directed
791719318320979968,179502768,Directed
842679437263028224,19449948,Directed
4263007693,2185238528,Directed
2973406683,42816996,Directed
15496407,1098316521863106561,Directed
750554018,1174614907888816128,Directed
4263007693,127347977,Directed
2303856248,433559451,Directed
18068926,1009871088820482048,Directed
1823987821,2812514684,Directed
2973406683,23373309,Directed
842679437263028224,2837205452,Directed
1065941148630421504,1011817655957893120,Directed
260399941,904378363359453184,Directed
49035640,164889672,Directed
260399941,206945427,Directed
144592995,2957753652,Directed
2544177302,2509718979,Directed
254695026,971620109197312000,Directed
1027109974835486720,1190726565073522694,Directed
1486665318,1011817655957893120,Directed
4263007693,16403618,Directed
1060213620397637632,325803700,Directed
18100201,2365729350,Directed
4263007693,1192891949314797568,Directed
2385131,1209232959410073600,Directed
4263007693,310897418,Directed
879916514480189440,1011817655957893120,Directed
1114843768329359360,1011817655957893120,Directed
144592995,2273549300,Directed
144592995,35617061,Directed
1082235529511473152,1066962987276103681,Directed
925989238189019136,930074134817755136,Directed
973955318987210752,3128384108,Directed
1134925528740159488,1069159473598615552,Directed
295344317,1168124292,Directed
13074042,983470194982088704,Directed
845635834510479360,951690486917582850,Directed
350283265,1115955007,Directed
1203623631856779264,260815572,Directed
4263007693,55132686,Directed
842679437263028224,52498049,Directed
20444825,1075011651366199297,Directed
973955318987210752,244371808,Directed
256395922,2455763407,Directed
4863609262,717312300529618945,Directed
1203623631856779264,10408952,Directed
842679437263028224,1131089663534350337,Directed
2544177302,433559451,Directed
13074042,38174427,Directed
4263007693,2892519884,Directed
1678564044,191972027,Directed
326077427,779280476485943296,Directed
17367248,280350318,Directed
1027109974835486720,1137819035670736896,Directed
1009356826801004544,711507096215404544,Directed
177729631,2761403666,Directed
3191247045,885513434569355265,Directed
4263007693,2752480237,Directed
973955318987210752,1036433867480158210,Directed
4263007693,733348314872172544,Directed
3945171016,862960293474906113,Directed
2445765961,142171297,Directed
14209719,1042507385246384128,Directed
2544177302,11503692,Directed
1823987821,75350463,Directed
877278595,188431276,Directed
1198184915931672576,2387993700,Directed
973955318987210752,56458354,Directed
4263007693,77426261,Directed
400409011,39615607,Directed
1107764947155443712,1168003974,Directed
842679437263028224,2282731813,Directed
844152803991994368,733994123678490625,Directed
3140904045,1011817655957893120,Directed
