Source,Target,Type
2933447393,827801822,Directed
2480714952,3190738517,Directed
885868202554773504,487119609,Directed
1546188247,503776268,Directed
595286659,235261861,Directed
812424817483751424,4263007693,Directed
1011817655957893120,166348278,Directed
3229475660,235261861,Directed
1007347536716234752,235261861,Directed
1174614907888816128,1014914504314925056,Directed
3537604512,844152803991994368,Directed
2279320206,827801822,Directed
757023353253224448,226310002,Directed
1823987821,899690604,Directed
3693824417,815555071517872128,Directed
1011817655957893120,1038551897634787328,Directed
885868202554773504,3867945679,Directed
1004225337163747328,92026573,Directed
1431013098,1073640025269649408,Directed
14629263,84618490,Directed
1011817655957893120,2282270222,Directed
222783442,2369530147,Directed
1011817655957893120,718403766228295680,Directed
1011817655957893120,176883031,Directed
930871517860319232,827801822,Directed
1544562601,229638179,Directed
1011817655957893120,3579405317,Directed
1075011651366199296,19166519,Directed
1204128767251230720,1014914504314925056,Directed
984892305021730816,2369530147,Directed
2365729350,235261861,Directed
754517918,844152803991994368,Directed
1131854274223366144,2920033789,Directed
1014914504314925056,3065972386,Directed
1190726565073522688,4263007693,Directed
1949135078,2912107471,Directed
1041235321709449216,890677933,Directed
1011817655957893120,2458153957,Directed
848653989226975232,5685812,Directed
127573172,24914741,Directed
985425300292022272,4263007693,Directed
1181219776082911232,2229505322,Directed
3347998991,2241662364,Directed
1209232959410073600,2446432153,Directed
3867945679,61292316,Directed
23946982,1679260675,Directed
2227694947,722471022704922624,Directed
1011817655957893120,125499050,Directed
1596489572,1132243872,Directed
1011817655957893120,19304187,Directed
3357277319,827801822,Directed
971620109197312000,1260514195,Directed
801484971311595520,48707597,Directed
305435784,55667378,Directed
842956176958476288,71684691,Directed
266762558,960947423320326144,Directed
170793415,3167734591,Directed
1196724243037409280,169974815,Directed
368551889,13074042,Directed
60612671,487119609,Directed
94910867,169974815,Directed
68583134,342250615,Directed
742584653731794944,3030511365,Directed
629399145,844152803991994368,Directed
885513434569355264,15754281,Directed
1075011651366199296,946193338889318400,Directed
3199856542,235261861,Directed
3237259220,169974815,Directed
1011817655957893120,973955318987210752,Directed
769358539844268032,3867945679,Directed
890677933,890677933,Directed
222783442,3062012287,Directed
2662139235,1148456420918157312,Directed
3266733445,844152803991994368,Directed
1241814552,13074042,Directed
974136656281374720,2344530218,Directed
812555214024740864,295844886,Directed
1011817655957893120,47332433,Directed
709564705304498176,974140999118319616,Directed
18129188,2446432153,Directed
1075011651366199296,627909509,Directed
14778204,1205152848,Directed
837329373325848576,14344194,Directed
2365729350,273781698,Directed
923513734831755264,923513734831755264,Directed
709564705304498176,827801822,Directed
1075011651366199296,1127320376651014144,Directed
3324037438,1035962653670289408,Directed
53833682,2476114508,Directed
10552072,34677653,Directed
933029151983861760,1291375741,Directed
28766576,235261861,Directed
904618028087816192,3867945679,Directed
1196473350320775168,17778401,Directed
446377914,2912107471,Directed
873195392346849280,2445765961,Directed
709564705304498176,1014914504314925056,Directed
1110127915,226310002,Directed
2474626477,2344530218,Directed
1011817655957893120,1270025862,Directed
1075011651366199296,102004715,Directed
1011817655957893120,159879135,Directed
190197157,169974815,Directed
1136353565386059776,2920033789,Directed
3651992175,487119609,Directed
29524274,1265287416,Directed
1014928101036437504,525529406,Directed
3867945679,1958816220,Directed
241445758,1014914504314925056,Directed
1075011651366199296,983470194982088704,Directed
1241814552,3030511365,Directed
925683142312235008,3065972386,Directed
22753886,1068951084,Directed
706796744751910912,758273142489952256,Directed
1011817655957893120,951960446,Directed
772330691942084608,1202170936721657856,Directed
3197518417,3065972386,Directed
830122324170993664,709810556543238144,Directed
18129188,84618490,Directed
1011817655957893120,481867656,Directed
14770018,844152803991994368,Directed
1011817655957893120,2712200551,Directed
39387668,960947423320326144,Directed
992301599308500992,2344530218,Directed
428345347,2344530218,Directed
2962427036,2912107471,Directed
1011817655957893120,1000051374346985472,Directed
498631199,15821353,Directed
925683142312235008,487119609,Directed
1213156521216884736,827801822,Directed
754517918,25213966,Directed
19448058,2958560992,Directed
2414609995,3062012287,Directed
822474323436929024,1036488643198758912,Directed
2420911094,1175299088,Directed
3357277319,3062012287,Directed
743197905331314688,226310002,Directed
1158028952729989120,1241814552,Directed
251586332,844152803991994368,Directed
925683142312235008,3062012287,Directed
1011817655957893120,93174945,Directed
885513434569355264,1014914504314925056,Directed
1201182195181858816,1132243872,Directed
971620109197312000,92026573,Directed
3433899562,273781698,Directed
1525478358,207166307,Directed
1111920541,1203928819717083136,Directed
1181367479882285056,10671602,Directed
944231,13074042,Directed
52306752,169974815,Directed
49035640,128042269,Directed
803156,3448770088,Directed
1132243872,862642152,Directed
894160058539552768,109322829,Directed
1011817655957893120,1265287416,Directed
92026573,3065972386,Directed
51909512,1679260675,Directed
1011817655957893120,305435784,Directed
48707597,4263007693,Directed
785992587437944832,974140999118319616,Directed
894489891555422208,2782755278,Directed
3240601754,2920033789,Directed
930871517860319232,487119609,Directed
1904357113,844152803991994368,Directed
830130240793899008,2369530147,Directed
933029151983861760,2363225568,Directed
743197905331314688,974140999118319616,Directed
3260549083,235261861,Directed
23760451,2712200551,Directed
1034447195368505344,1241814552,Directed
2468540724,3030511365,Directed
183245102,4263007693,Directed
1064108650271309824,2344530218,Directed
1011817655957893120,139861761,Directed
959240231684685824,235261861,Directed
1099207965272350720,1134925528740159488,Directed
1011817655957893120,739773414316118016,Directed
812555214024740864,2369530147,Directed
1011817655957893120,128700677,Directed
1011817655957893120,254107028,Directed
1075011651366199296,66804129,Directed
722471022704922624,235261861,Directed
1011817655957893120,2440258777,Directed
800284284028227584,894518852,Directed
1320130406,770490229769789440,Directed
1174614907888816128,2920033789,Directed
3867945679,1014914504314925056,Directed
3001012567,891819486352769024,Directed
19994927,25213966,Directed
73403072,14351134,Directed
3448770088,102004715,Directed
730409436901183488,19766557,Directed
63039586,823905,Directed
4707372193,899690604,Directed
1011817655957893120,109312021,Directed
1064108650271309824,4263007693,Directed
1075011651366199296,67293805,Directed
801484971311595520,2344530218,Directed
742584653731794944,2840786109,Directed
2326716338,3365325257,Directed
1011817655957893120,15724284,Directed
